RANKING IDHM 2010,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM 2010,IDHM RENDA 2010,IDHM LONGEVIDADE 2010,IDHM EDUCAÇÃO 2010,MERGE,,MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
5186,270750,PORTO REAL DO COLÉGIO,AL,"0,551","0,513","0,758","0,431",AL-PORTO REAL DO COLÉGIO,1,AL-PORTO REAL DO COLÉGIO,1730,270750, AL,PORTO REAL DO COLÉGIO,PORTO REAL DO COLÉGIO,-36.702075,-10.0581191
5066,270760,QUEBRANGULO,AL,"0,559","0,536","0,775","0,421",AL-QUEBRANGULO,1,AL-QUEBRANGULO,1731,270760, AL,QUEBRANGULO,QUEBRANGULO,-36.473847,-9.3202687
3234,270770,RIO LARGO,AL,"0,643","0,616","0,788","0,547",AL-RIO LARGO,1,AL-RIO LARGO,1732,270770, AL,RIO LARGO,RIO LARGO,-35.8369269,-9.4778777
5515,270780,ROTEIRO,AL,"0,505","0,524","0,672","0,365",AL-ROTEIRO,1,AL-ROTEIRO,1733,270780, AL,ROTEIRO,ROTEIRO,NA,NA
4215,270790,SANTA LUZIA DO NORTE,AL,"0,597","0,580","0,770","0,477",AL-SANTA LUZIA DO NORTE,1,AL-SANTA LUZIA DO NORTE,1734,270790, AL,SANTA LUZIA DO NORTE,SANTA LUZIA DO NORTE,-35.8227811,-9.6042074
4372,270800,SANTANA DO IPANEMA,AL,"0,591","0,579","0,770","0,463",AL-SANTANA DO IPANEMA,1,AL-SANTANA DO IPANEMA,1735,270800, AL,SANTANA DO IPANEMA,SANTANA DO IPANEMA,-37.2474336,-9.3699579
5461,270810,SANTANA DO MUNDAÚ,AL,"0,519","0,513","0,752","0,362",AL-SANTANA DO MUNDAÚ,1,AL-SANTANA DO MUNDAÚ,1736,270810, AL,SANTANA DO MUNDAÚ,SANTANA DO MUNDAÚ,-36.1979764,-9.1397328
4802,270820,SÃO BRÁS,AL,"0,572","0,533","0,732","0,480",AL-SÃO BRÁS,1,AL-SÃO BRÁS,1737,270820, AL,SÃO BRÁS,SÃO BRÁS,-7.8890523,37.152576
4786,270830,SÃO JOSÉ DA LAJE,AL,"0,573","0,574","0,755","0,434",AL-SÃO JOSÉ DA LAJE,1,AL-SÃO JOSÉ DA LAJE,1738,270830, AL,SÃO JOSÉ DA LAJE,SÃO JOSÉ DA LAJE,-36.0240861,-8.9740524
5416,270840,SÃO JOSÉ DA TAPERA,AL,"0,527","0,508","0,703","0,409",AL-SÃO JOSÉ DA TAPERA,1,AL-SÃO JOSÉ DA TAPERA,1739,270840, AL,SÃO JOSÉ DA TAPERA,SÃO JOSÉ DA TAPERA,-37.5108091,-9.517963
5354,270850,SÃO LUÍS DO QUITUNDE,AL,"0,536","0,550","0,701","0,400",AL-SÃO LUÍS DO QUITUNDE,1,AL-SÃO LUÍS DO QUITUNDE,1740,270850, AL,SÃO LUÍS DO QUITUNDE,SÃO LUÍS DO QUITUNDE,-35.5633711,-9.309773
3631,270860,SÃO MIGUEL DOS CAMPOS,AL,"0,623","0,612","0,770","0,514",AL-SÃO MIGUEL DOS CAMPOS,1,AL-SÃO MIGUEL DOS CAMPOS,1741,270860, AL,SÃO MIGUEL DOS CAMPOS,SÃO MIGUEL DOS CAMPOS,-36.1328132,-9.7625469
4372,270870,SÃO MIGUEL DOS MILAGRES,AL,"0,591","0,545","0,752","0,504",AL-SÃO MIGUEL DOS MILAGRES,1,AL-SÃO MIGUEL DOS MILAGRES,1742,270870, AL,SÃO MIGUEL DOS MILAGRES,SÃO MIGUEL DOS MILAGRES,-35.3746835,-9.2678356
5209,270880,SÃO SEBASTIÃO,AL,"0,549","0,537","0,714","0,432",AL-SÃO SEBASTIÃO,1,AL-SÃO SEBASTIÃO,1743,270880, AL,SÃO SEBASTIÃO,SÃO SEBASTIÃO,-45.4016534,-23.8063468
